,pais_origem,pais_destino,qtde_voos
64,Argentina,Mexico,0.4506849315068493
65,Argentina,Morocco,0.0027397260273972603
66,Argentina,Netherlands,0.5931506849315068
67,Argentina,New Zealand,0.25205479452054796
68,Argentina,Panama,0.06164383561643835
69,Argentina,Peru,0.08904109589041095
70,Argentina,Poland,0.0013698630136986301
71,Argentina,Portugal,0.009589041095890411
72,Argentina,Puerto Rico,0.010958904109589041
73,Argentina,Qatar,0.00821917808219178
74,Argentina,Russia,0.012328767123287671
75,Argentina,Saudi Arabia,0.0013698630136986301
76,Argentina,Senegal,0.04657534246575343
77,Argentina,South Africa,0.005479452054794521
78,Argentina,South Korea,0.0027397260273972603
79,Argentina,Spain,3.8534246575342466
80,Argentina,Switzerland,0.12602739726027398
81,Argentina,Turkey,0.0013698630136986301
82,Argentina,United Arab Emirates,0.00410958904109589
83,Argentina,United Kingdom,1.180821917808219
84,Argentina,United States,7.4150684931506845
85,Argentina,Uruguay,1.4753424657534246
86,Argentina,Venezuela,0.026027397260273973
87,Armenia,Austria,0.026027397260273973
88,Armenia,Belarus,0.0013698630136986301
89,Armenia,Belgium,0.0013698630136986301
90,Armenia,Czech Republic,0.0013698630136986301
91,Armenia,France,0.02054794520547945
92,Armenia,Germany,0.0013698630136986301
93,Armenia,Greece,0.0136986301369863
94,Armenia,Iceland,0.0013698630136986301
95,Armenia,Israel,0.005479452054794521
96,Armenia,Italy,0.0013698630136986301
97,Armenia,Lebanon,0.0136986301369863
98,Armenia,Poland,0.030136986301369864
99,Armenia,Qatar,0.024657534246575342
100,Armenia,Romania,0.005479452054794521
101,Armenia,Russia,0.7780821917808219
102,Armenia,Serbia,0.0013698630136986301
103,Armenia,Ukraine,0.06438356164383562
104,Armenia,United Arab Emirates,0.08904109589041095
105,Aruba,Argentina,0.0013698630136986301
106,Aruba,Belgium,0.00410958904109589
107,Aruba,Bolivia,0.00410958904109589
108,Aruba,Brazil,0.005479452054794521
109,Aruba,Canada,0.11917808219178082
110,Aruba,Colombia,0.043835616438356165
111,Aruba,Ecuador,0.03424657534246575
112,Aruba,Mexico,0.0013698630136986301
113,Aruba,Netherlands,0.07123287671232877
114,Aruba,Panama,0.01780821917808219
115,Aruba,Puerto Rico,0.009589041095890411
116,Aruba,Spain,0.0013698630136986301
117,Aruba,United Kingdom,0.00684931506849315
118,Aruba,United States,1.7780821917808218
119,Aruba,Uruguay,0.0027397260273972603
120,Aruba,Venezuela,0.036986301369863014
121,Australia,Argentina,0.09041095890410959
122,Australia,Austria,0.05342465753424658
123,Australia,Bahrain,0.0013698630136986301
124,Australia,Bangladesh,0.019178082191780823
125,Australia,Belgium,0.0410958904109589
126,Australia,Brazil,0.049315068493150684
127,Australia,Brunei,0.6013698630136987
128,Australia,Canada,2.504109589041096
129,Australia,Chile,0.15342465753424658
130,Australia,China,11.331506849315069
131,Australia,Costa Rica,0.0013698630136986301
132,Australia,Croatia,0.0013698630136986301
133,Australia,Czech Republic,0.03561643835616438
134,Australia,Denmark,0.052054794520547946
135,Australia,Finland,0.015068493150684932
136,Australia,France,0.5863013698630137
137,Australia,French Polynesia,0.045205479452054796
138,Australia,Germany,0.9
139,Australia,Greece,0.14246575342465753
140,Australia,Hungary,0.026027397260273973
141,Australia,India,1.6095890410958904
142,Australia,Indonesia,2.3972602739726026
143,Australia,Ireland,0.0136986301369863
144,Australia,Israel,0.00684931506849315
145,Australia,Italy,0.3780821917808219
146,Australia,Japan,4.073972602739726
147,Australia,Kazakhstan,0.0027397260273972603
148,Australia,Lebanon,0.0013698630136986301
149,Australia,Lithuania,0.0013698630136986301
150,Australia,Malaysia,11.43013698630137
151,Australia,Maldives,0.0589041095890411
152,Australia,Malta,0.0027397260273972603
153,Australia,Mexico,0.005479452054794521
154,Australia,Nepal,0.0013698630136986301
