,org,dest,valor_norm,day
24139,Portugal,Spain,42.0,13
24169,Portugal,Sweden,1.0,13
24199,Portugal,Switzerland,19.5,13
24229,Portugal,United Arab Emirates,1.5,13
24259,Portugal,United Kingdom,34.5,13
24289,Portugal,United States,8.0,13
24292,Puerto Rico,United States,35.0,13
24293,Qatar,Algeria,1.0,13
24374,Qatar,Australia,1.0,13
24415,Qatar,Austria,1.5,13
24456,Qatar,Bangladesh,2.0,13
24497,Qatar,Belgium,2.5,13
24538,Qatar,Brazil,1.0,13
24579,Qatar,Canada,1.0,13
24660,Qatar,Croatia,1.5,13
24701,Qatar,Czech Republic,1.5,13
24742,Qatar,Denmark,2.0,13
24783,Qatar,Finland,1.5,13
24824,Qatar,France,2.5,13
24865,Qatar,Germany,5.0,13
24906,Qatar,Greece,2.5,13
24947,Qatar,Hong Kong,3.0,13
24988,Qatar,Hungary,1.5,13
25029,Qatar,India,9.0,13
25070,Qatar,Ireland,1.0,13
25111,Qatar,Italy,6.0,13
25232,Qatar,Malaysia,2.5,13
25273,Qatar,Malta,1.0,13
25315,Qatar,Netherlands,2.0,13
25356,Qatar,New Zealand,1.0,13
25397,Qatar,Norway,1.5,13
25438,Qatar,Philippines,3.5,13
25479,Qatar,Poland,3.0,13
25521,Qatar,Russia,3.0,13
25562,Qatar,Singapore,1.5,13
25604,Qatar,Spain,3.5,13
25645,Qatar,Sri Lanka,3.0,13
25686,Qatar,Sweden,2.5,13
25727,Qatar,Switzerland,2.0,13
25768,Qatar,Thailand,5.5,13
25809,Qatar,Turkey,4.0,13
25850,Qatar,Ukraine,1.5,13
25891,Qatar,United Kingdom,13.0,13
25932,Qatar,United States,10.0,13
25933,Romania,Austria,1.5,13
25948,Romania,Germany,7.0,13
25956,Romania,Greece,2.0,13
25978,Romania,Italy,7.5,13
25986,Romania,Netherlands,1.0,13
26016,Romania,United Kingdom,4.0,13
26017,Russia,Armenia,13.0,13
26055,Russia,Austria,11.0,13
26093,Russia,Bahrain,1.5,13
26131,Russia,Belarus,11.5,13
26169,Russia,Belgium,2.5,13
26207,Russia,China,1.5,13
26245,Russia,Croatia,1.0,13
26283,Russia,Czech Republic,13.0,13
26321,Russia,Denmark,1.5,13
26359,Russia,Estonia,2.0,13
26397,Russia,Finland,11.0,13
26435,Russia,France,12.5,13
26473,Russia,Germany,50.0,13
26511,Russia,Greece,2.0,13
26549,Russia,Hong Kong,1.5,13
26587,Russia,Hungary,5.0,13
26625,Russia,India,1.5,13
26700,Russia,Israel,7.0,13
26738,Russia,Italy,25.5,13
26776,Russia,Kazakhstan,7.0,13
26814,Russia,Latvia,15.0,13
26852,Russia,Netherlands,6.5,13
26890,Russia,Norway,1.5,13
26928,Russia,Poland,8.0,13
26966,Russia,Portugal,2.0,13
27004,Russia,Qatar,3.0,13
27116,Russia,Slovakia,1.0,13
27154,Russia,South Korea,2.0,13
27192,Russia,Spain,7.5,13
27231,Russia,Sweden,5.0,13
27269,Russia,Switzerland,10.5,13
27307,Russia,Thailand,2.5,13
27345,Russia,Turkey,4.0,13
27383,Russia,United Arab Emirates,17.0,13
27421,Russia,United Kingdom,12.5,13
27459,Russia,United States,4.0,13
27461,Saudi Arabia,Bahrain,8.0,13
27481,Saudi Arabia,Bangladesh,1.5,13
27505,Saudi Arabia,India,6.5,13
27525,Saudi Arabia,Italy,1.0,13
27547,Saudi Arabia,Philippines,1.5,13
27569,Saudi Arabia,Switzerland,1.5,13
27589,Saudi Arabia,Turkey,1.5,13
27609,Saudi Arabia,United Arab Emirates,31.5,13
27629,Saudi Arabia,United Kingdom,1.5,13
27639,Senegal,France,2.5,13
27661,Singapore,Australia,32.0,13
27691,Singapore,Bangladesh,3.0,13
27721,Singapore,China,4.5,13
27754,Singapore,Germany,1.5,13
27784,Singapore,Hong Kong,18.5,13
27814,Singapore,India,20.0,13
27844,Singapore,Indonesia,4.0,13
27875,Singapore,Japan,11.0,13
27905,Singapore,Macau,2.5,13
27935,Singapore,Malaysia,52.5,13
27966,Singapore,New Zealand,2.5,13
27996,Singapore,Philippines,13.0,13
28026,Singapore,Qatar,1.5,13
28058,Singapore,South Korea,8.0,13
28089,Singapore,Sri Lanka,4.0,13
28120,Singapore,Taiwan,11.0,13
28150,Singapore,Thailand,32.5,13
28180,Singapore,United Arab Emirates,4.0,13
28210,Singapore,United Kingdom,2.5,13
28240,Singapore,United States,2.0,13
28253,Slovakia,Belgium,1.0,13
28267,Slovakia,Germany,2.5,13
28280,Slovakia,Hungary,1.0,13
28293,Slovakia,Ireland,1.0,13
28306,Slovakia,Italy,2.0,13
28319,Slovakia,Netherlands,1.0,13
28332,Slovakia,Poland,1.5,13
28345,Slovakia,Russia,1.0,13
28358,Slovakia,Switzerland,1.0,13
28371,Slovakia,Ukraine,2.0,13
28384,Slovakia,United Kingdom,3.5,13
28405,South Africa,United Arab Emirates,1.5,13
28406,South Korea,Australia,2.0,13
28449,South Korea,China,8.5,13
28492,South Korea,Finland,1.0,13
28514,South Korea,France,2.0,13
28536,South Korea,Germany,2.5,13
28558,South Korea,Hong Kong,23.5,13
28580,South Korea,India,2.0,13
28644,South Korea,Japan,54.5,13
28687,South Korea,Macau,7.5,13
28709,South Korea,Malaysia,12.0,13
28731,South Korea,New Zealand,1.0,13
28753,South Korea,Philippines,15.0,13
28797,South Korea,Russia,2.0,13
28819,South Korea,Singapore,8.0,13
28884,South Korea,Taiwan,25.5,13
28906,South Korea,Thailand,17.5,13
28928,South Korea,United Arab Emirates,1.0,13
28950,South Korea,United Kingdom,1.5,13
28972,South Korea,United States,20.0,13
28973,Spain,Algeria,3.0,13
29011,Spain,Austria,9.5,13
29049,Spain,Belgium,22.5,13
29088,Spain,Brazil,1.0,13
29126,Spain,Canada,2.0,13
29201,Spain,Colombia,3.5,13
29239,Spain,Costa Rica,1.0,13
29277,Spain,Czech Republic,5.0,13
29315,Spain,Denmark,6.5,13
29390,Spain,Finland,4.5,13
29428,Spain,France,65.5,13
29466,Spain,Germany,91.5,13
29504,Spain,Greece,5.0,13
29579,Spain,Hungary,5.0,13
29617,Spain,Ireland,13.0,13
29655,Spain,Israel,6.5,13
29693,Spain,Italy,74.5,13
29731,Spain,Latvia,3.0,13
29769,Spain,Luxembourg,3.0,13
29807,Spain,Malta,2.0,13
29845,Spain,Morocco,6.5,13
29883,Spain,Netherlands,30.0,13
29921,Spain,Norway,4.0,13
29959,Spain,Poland,5.5,13
29997,Spain,Portugal,42.0,13
30035,Spain,Qatar,3.5,13
30074,Spain,Russia,7.5,13
30187,Spain,Sweden,6.0,13
30225,Spain,Switzerland,30.5,13
30263,Spain,Turkey,2.5,13
30301,Spain,Ukraine,2.5,13
30339,Spain,United Arab Emirates,3.5,13
30377,Spain,United Kingdom,97.0,13
30415,Spain,United States,15.5,13
30417,Sri Lanka,Bahrain,1.5,13
30430,Sri Lanka,Bangladesh,1.0,13
30456,Sri Lanka,India,16.5,13
30470,Sri Lanka,Malaysia,4.5,13
30495,Sri Lanka,Qatar,3.0,13
30532,Sri Lanka,Singapore,4.0,13
30546,Sri Lanka,Thailand,4.5,13
30559,Sri Lanka,United Arab Emirates,9.5,13
30572,Sweden,Austria,3.0,13
30601,Sweden,Belgium,6.0,13
30630,Sweden,Czech Republic,2.0,13
30659,Sweden,Denmark,34.5,13
30688,Sweden,Estonia,6.5,13
30717,Sweden,Finland,34.5,13
30746,Sweden,France,7.5,13
30775,Sweden,Germany,38.0,13
30804,Sweden,Greece,1.0,13
30833,Sweden,Hungary,3.0,13
30862,Sweden,Iceland,1.0,13
30891,Sweden,Ireland,1.0,13
30920,Sweden,Italy,5.0,13
30949,Sweden,Latvia,6.5,13
30978,Sweden,Luxembourg,1.0,13
31007,Sweden,Netherlands,13.0,13
31036,Sweden,Norway,25.5,13
31065,Sweden,Poland,11.5,13
31094,Sweden,Portugal,1.0,13
31123,Sweden,Qatar,2.5,13
31152,Sweden,Russia,5.0,13
31209,Sweden,Spain,6.0,13
31238,Sweden,Switzerland,6.0,13
31267,Sweden,Thailand,1.0,13
31296,Sweden,Turkey,1.0,13
31325,Sweden,Ukraine,1.5,13
31354,Sweden,United Arab Emirates,1.0,13
31383,Sweden,United Kingdom,26.5,13
31412,Switzerland,Algeria,1.0,13
31448,Switzerland,Austria,19.5,13
31484,Switzerland,Belgium,8.5,13
31520,Switzerland,Canada,2.5,13
31557,Switzerland,Croatia,2.5,13
31593,Switzerland,Czech Republic,7.0,13
31629,Switzerland,Denmark,7.0,13
31665,Switzerland,Finland,3.0,13
31701,Switzerland,France,34.5,13
31737,Switzerland,Germany,92.0,13
31773,Switzerland,Greece,6.0,13
31844,Switzerland,Hungary,4.0,13
31950,Switzerland,Ireland,4.0,13
31986,Switzerland,Israel,3.5,13
32022,Switzerland,Italy,22.5,13
32058,Switzerland,Latvia,1.0,13
32094,Switzerland,Luxembourg,6.0,13
32130,Switzerland,Malta,1.0,13
32201,Switzerland,Netherlands,19.0,13
32237,Switzerland,Norway,2.0,13
32273,Switzerland,Poland,8.5,13
32309,Switzerland,Portugal,19.5,13
32345,Switzerland,Qatar,2.0,13
32381,Switzerland,Russia,10.5,13
32417,Switzerland,Saudi Arabia,1.5,13
32488,Switzerland,Slovakia,1.0,13
32524,Switzerland,Spain,30.5,13
32560,Switzerland,Sweden,6.0,13
32596,Switzerland,Thailand,1.0,13
32632,Switzerland,Turkey,2.0,13
32668,Switzerland,Ukraine,1.5,13
32704,Switzerland,United Arab Emirates,4.0,13
32740,Switzerland,United Kingdom,75.0,13
32776,Switzerland,United States,12.0,13
32777,Taiwan,Australia,2.0,13
32797,Taiwan,Canada,2.0,13
32816,Taiwan,China,4.5,13
32837,Taiwan,Hong Kong,50.5,13
32875,Taiwan,Japan,38.5,13
32894,Taiwan,Macau,14.0,13
32913,Taiwan,Malaysia,7.5,13
32933,Taiwan,Philippines,10.0,13
32952,Taiwan,Singapore,11.0,13
32971,Taiwan,South Korea,25.5,13
32990,Taiwan,Thailand,17.0,13
33046,Taiwan,United States,15.5,13
33047,Thailand,Australia,5.0,13
33077,Thailand,Bahrain,1.0,13
33106,Thailand,Bangladesh,3.0,13
33136,Thailand,China,7.0,13
33165,Thailand,Denmark,1.0,13
33222,Thailand,France,2.0,13
33251,Thailand,Germany,2.5,13
33280,Thailand,Hong Kong,25.0,13
33309,Thailand,India,24.0,13
33338,Thailand,Israel,1.0,13
33368,Thailand,Japan,15.0,13
33425,Thailand,Macau,4.5,13
33454,Thailand,Malaysia,23.0,13
33511,Thailand,New Zealand,1.0,13
33540,Thailand,Philippines,6.0,13
33569,Thailand,Qatar,5.5,13
33598,Thailand,Russia,2.5,13
33627,Thailand,Singapore,32.5,13
33656,Thailand,South Korea,17.5,13
33685,Thailand,Sri Lanka,4.5,13
33714,Thailand,Sweden,1.0,13
33743,Thailand,Switzerland,1.0,13
33772,Thailand,Taiwan,17.0,13
33801,Thailand,United Arab Emirates,5.0,13
33830,Thailand,United Kingdom,2.0,13
33831,Turkey,Austria,3.0,13
33857,Turkey,Bahrain,1.5,13
33883,Turkey,Belgium,3.5,13
33934,Turkey,Czech Republic,1.0,13
33960,Turkey,Denmark,2.0,13
34011,Turkey,France,5.5,13
34037,Turkey,Germany,22.0,13
34063,Turkey,Greece,2.0,13
34089,Turkey,Hungary,1.0,13
34140,Turkey,Israel,5.5,13
34166,Turkey,Italy,6.0,13
34192,Turkey,Kazakhstan,2.0,13
34219,Turkey,Netherlands,4.5,13
34245,Turkey,Norway,1.0,13
34271,Turkey,Qatar,4.0,13
34298,Turkey,Russia,4.0,13
34324,Turkey,Saudi Arabia,1.5,13
34350,Turkey,Spain,2.5,13
34376,Turkey,Sweden,1.0,13
34402,Turkey,Switzerland,2.0,13
34428,Turkey,Ukraine,1.5,13
34454,Turkey,United Arab Emirates,7.5,13
34480,Turkey,United Kingdom,6.0,13
34506,Ukraine,Armenia,1.5,13
34533,Ukraine,Austria,4.5,13
34560,Ukraine,Belarus,2.0,13
34588,Ukraine,Czech Republic,3.0,13
34615,Ukraine,Denmark,1.0,13
34642,Ukraine,Estonia,1.0,13
34669,Ukraine,France,2.0,13
34696,Ukraine,Germany,14.5,13
34723,Ukraine,Greece,1.0,13
34750,Ukraine,Hungary,2.0,13
34777,Ukraine,Israel,3.0,13
34804,Ukraine,Italy,3.0,13
34831,Ukraine,Kazakhstan,1.0,13
34858,Ukraine,Latvia,3.0,13
34911,Ukraine,Netherlands,2.0,13
34938,Ukraine,Poland,13.5,13
34965,Ukraine,Qatar,1.5,13
34992,Ukraine,Slovakia,2.0,13
35019,Ukraine,Spain,2.5,13
35046,Ukraine,Sweden,1.5,13
35073,Ukraine,Switzerland,1.5,13
35101,Ukraine,Turkey,1.5,13
35128,Ukraine,United Arab Emirates,4.0,13
35155,Ukraine,United Kingdom,4.5,13
35182,United Arab Emirates,Algeria,1.5,13
35228,United Arab Emirates,Armenia,2.0,13
35274,United Arab Emirates,Australia,6.0,13
35320,United Arab Emirates,Austria,2.5,13
35366,United Arab Emirates,Bahrain,22.5,13
35412,United Arab Emirates,Bangladesh,4.5,13
35459,United Arab Emirates,Brazil,1.0,13
35505,United Arab Emirates,Canada,2.0,13
35551,United Arab Emirates,China,1.0,13
35597,United Arab Emirates,Czech Republic,2.0,13
35643,United Arab Emirates,Denmark,1.0,13
35734,United Arab Emirates,France,6.0,13
35780,United Arab Emirates,Germany,14.5,13
35871,United Arab Emirates,Hong Kong,5.5,13
35917,United Arab Emirates,Hungary,1.5,13
35963,United Arab Emirates,India,48.5,13
36009,United Arab Emirates,Ireland,2.0,13
36056,United Arab Emirates,Italy,9.5,13
36147,United Arab Emirates,Kazakhstan,4.0,13
36194,United Arab Emirates,Malaysia,3.0,13
36240,United Arab Emirates,Malta,1.0,13
36287,United Arab Emirates,Netherlands,3.5,13
36333,United Arab Emirates,New Zealand,1.0,13
36425,United Arab Emirates,Poland,2.0,13
36471,United Arab Emirates,Portugal,1.5,13
36518,United Arab Emirates,Russia,17.0,13
36564,United Arab Emirates,Saudi Arabia,31.5,13
36610,United Arab Emirates,Singapore,4.0,13
36656,United Arab Emirates,South Africa,1.5,13
36702,United Arab Emirates,South Korea,1.0,13
36748,United Arab Emirates,Spain,3.5,13
36794,United Arab Emirates,Sri Lanka,9.5,13
36840,United Arab Emirates,Sweden,1.0,13
36886,United Arab Emirates,Switzerland,4.0,13
36977,United Arab Emirates,Thailand,5.0,13
37023,United Arab Emirates,Turkey,7.5,13
37069,United Arab Emirates,Ukraine,4.0,13
37115,United Arab Emirates,United Kingdom,17.5,13
37161,United Arab Emirates,United States,9.5,13
37162,United Kingdom,Algeria,1.0,13
37216,United Kingdom,Austria,18.0,13
37269,United Kingdom,Bahrain,2.0,13
37322,United Kingdom,Belarus,1.5,13
37375,United Kingdom,Belgium,15.5,13
37429,United Kingdom,Canada,13.5,13
37483,United Kingdom,Croatia,1.0,13
37536,United Kingdom,Czech Republic,23.5,13
37589,United Kingdom,Denmark,36.0,13
37643,United Kingdom,Estonia,3.0,13
37696,United Kingdom,Finland,11.0,13
37749,United Kingdom,France,78.5,13
37802,United Kingdom,Germany,156.0,13
37855,United Kingdom,Greece,10.0,13
37908,United Kingdom,Hong Kong,3.0,13
37961,United Kingdom,Hungary,24.5,13
38014,United Kingdom,Iceland,11.5,13
38067,United Kingdom,India,8.5,13
38120,United Kingdom,Ireland,130.5,13
38173,United Kingdom,Israel,10.5,13
38226,United Kingdom,Italy,103.0,13
38279,United Kingdom,Japan,1.0,13
38332,United Kingdom,Latvia,6.0,13
38385,United Kingdom,Luxembourg,11.5,13
38438,United Kingdom,Malaysia,1.0,13
38491,United Kingdom,Malta,6.0,13
38544,United Kingdom,Morocco,1.0,13
38597,United Kingdom,Netherlands,108.5,13
38650,United Kingdom,Norway,25.5,13
38703,United Kingdom,Poland,66.0,13
38756,United Kingdom,Portugal,34.5,13
38809,United Kingdom,Qatar,13.0,13
38862,United Kingdom,Romania,4.0,13
38915,United Kingdom,Russia,12.5,13
38968,United Kingdom,Saudi Arabia,1.5,13
39073,United Kingdom,Singapore,2.5,13
39126,United Kingdom,Slovakia,3.5,13
39179,United Kingdom,South Korea,1.5,13
39232,United Kingdom,Spain,97.0,13
39286,United Kingdom,Sweden,26.5,13
39339,United Kingdom,Switzerland,75.0,13
39393,United Kingdom,Thailand,2.0,13
39446,United Kingdom,Turkey,6.0,13
39499,United Kingdom,Ukraine,4.5,13
39552,United Kingdom,United Arab Emirates,17.5,13
39605,United Kingdom,United States,87.5,13
39606,United States,Australia,20.5,13
39651,United States,Austria,2.0,13
39740,United States,Belgium,7.5,13
39785,United States,Bolivia,1.0,13
39830,United States,Brazil,22.0,13
39875,United States,Canada,397.0,13
39920,United States,China,2.0,13
39965,United States,Colombia,19.0,13
40010,United States,Costa Rica,21.0,13
40099,United States,Denmark,3.0,13
40145,United States,Finland,1.0,13
40190,United States,France,26.5,13
40235,United States,French Polynesia,2.0,13
40280,United States,Germany,42.5,13
40369,United States,Hong Kong,19.5,13
40459,United States,India,2.5,13
40504,United States,Ireland,13.5,13
40549,United States,Israel,5.0,13
40594,United States,Italy,11.5,13
40639,United States,Japan,5.0,13
40684,United States,Luxembourg,2.0,13
40729,United States,Mexico,13.0,13
40818,United States,Netherlands,21.5,13
40863,United States,New Zealand,7.5,13
40908,United States,Norway,2.0,13
40954,United States,Poland,2.5,13
40999,United States,Portugal,8.0,13
41044,United States,Puerto Rico,35.0,13
41089,United States,Qatar,10.0,13
41134,United States,Russia,4.0,13
41224,United States,Singapore,2.0,13
41269,United States,South Korea,20.0,13
41314,United States,Spain,15.5,13
41360,United States,Switzerland,12.0,13
41405,United States,Taiwan,15.5,13
41452,United States,United Arab Emirates,9.5,13
41497,United States,United Kingdom,87.5,13
9,France,Algeria,19.5,13
19,Germany,Algeria,2.5,13
48,Qatar,Algeria,1.0,13
68,Spain,Algeria,3.0,13
78,Switzerland,Algeria,1.0,13
88,United Arab Emirates,Algeria,1.5,13
98,United Kingdom,Algeria,1.0,13
106,France,Armenia,1.0,13
114,Germany,Armenia,1.0,13
131,Russia,Armenia,13.0,13
139,Ukraine,Armenia,1.5,13
147,United Arab Emirates,Armenia,2.0,13
155,Canada,Australia,2.0,13
171,China,Australia,1.0,13
187,Hong Kong,Australia,15.5,13
203,India,Australia,1.0,13
219,Japan,Australia,2.5,13
235,Malaysia,Australia,19.5,13
251,New Zealand,Australia,53.0,13
267,Philippines,Australia,3.0,13
283,Qatar,Australia,1.0,13
299,Singapore,Australia,32.0,13
330,South Korea,Australia,2.0,13
361,Taiwan,Australia,2.0,13
377,Thailand,Australia,5.0,13
393,United Arab Emirates,Australia,6.0,13
409,United States,Australia,20.5,13
411,Belarus,Austria,1.5,13
448,Belgium,Austria,5.5,13
485,Canada,Austria,1.5,13
522,Croatia,Austria,3.5,13
559,Czech Republic,Austria,4.0,13
596,Denmark,Austria,7.0,13
633,Finland,Austria,3.0,13
670,France,Austria,8.5,13
707,Germany,Austria,89.5,13
744,Greece,Austria,4.0,13
781,Hungary,Austria,1.5,13
819,Ireland,Austria,2.0,13
856,Israel,Austria,6.0,13
893,Italy,Austria,16.5,13
966,Latvia,Austria,3.0,13
1003,Luxembourg,Austria,4.5,13
1040,Malta,Austria,1.5,13
1078,Netherlands,Austria,15.5,13
1115,Norway,Austria,3.5,13
1152,Poland,Austria,7.0,13
1189,Portugal,Austria,5.5,13
1226,Qatar,Austria,1.5,13
1263,Romania,Austria,1.5,13
1300,Russia,Austria,11.0,13
1338,Spain,Austria,9.5,13
1375,Sweden,Austria,3.0,13
1412,Switzerland,Austria,19.5,13
1521,Turkey,Austria,3.0,13
1558,Ukraine,Austria,4.5,13
1595,United Arab Emirates,Austria,2.5,13
1632,United Kingdom,Austria,18.0,13
1669,United States,Austria,2.0,13
1672,Germany,Bahrain,1.5,13
1687,Greece,Bahrain,1.0,13
1716,India,Bahrain,7.0,13
1732,Russia,Bahrain,1.5,13
1747,Saudi Arabia,Bahrain,8.0,13
1762,Sri Lanka,Bahrain,1.5,13
1777,Thailand,Bahrain,1.0,13
1792,Turkey,Bahrain,1.5,13
1807,United Arab Emirates,Bahrain,22.5,13
1822,United Kingdom,Bahrain,2.0,13
1831,India,Bangladesh,7.0,13
1846,Qatar,Bangladesh,2.0,13
1854,Saudi Arabia,Bangladesh,1.5,13
1862,Singapore,Bangladesh,3.0,13
1870,Sri Lanka,Bangladesh,1.0,13
1878,Thailand,Bangladesh,3.0,13
1886,United Arab Emirates,Bangladesh,4.5,13
1887,Austria,Belarus,1.5,13
1900,Belgium,Belarus,1.0,13
1925,Estonia,Belarus,1.0,13
1938,France,Belarus,1.0,13
1951,Germany,Belarus,2.5,13
1976,Italy,Belarus,1.5,13
2001,Latvia,Belarus,1.0,13
2014,Netherlands,Belarus,1.0,13
2027,Poland,Belarus,2.0,13
2040,Russia,Belarus,11.5,13
2053,Ukraine,Belarus,2.0,13
2066,United Kingdom,Belarus,1.5,13
2068,Austria,Belgium,5.5,13
2102,Belarus,Belgium,1.0,13
2136,Canada,Belgium,1.0,13
2203,Croatia,Belgium,2.5,13
2237,Czech Republic,Belgium,6.5,13
2271,Denmark,Belgium,6.0,13
2305,Estonia,Belgium,1.5,13
2339,Finland,Belgium,2.5,13
2373,France,Belgium,13.0,13
2407,Germany,Belgium,28.5,13
2441,Greece,Belgium,2.5,13
2475,Hungary,Belgium,4.5,13
2509,Iceland,Belgium,1.0,13
2543,Ireland,Belgium,6.0,13
2577,Israel,Belgium,3.0,13
2611,Italy,Belgium,25.0,13
2645,Latvia,Belgium,1.5,13
2712,Malta,Belgium,3.0,13
2746,Morocco,Belgium,5.0,13
2780,Netherlands,Belgium,5.0,13
2814,Norway,Belgium,3.5,13
2848,Poland,Belgium,10.5,13
2882,Portugal,Belgium,8.0,13
2916,Qatar,Belgium,2.5,13
2950,Russia,Belgium,2.5,13
3050,Slovakia,Belgium,1.0,13
3084,Spain,Belgium,22.5,13
3118,Sweden,Belgium,6.0,13
3152,Switzerland,Belgium,8.5,13
3219,Turkey,Belgium,3.5,13
3319,United Kingdom,Belgium,15.5,13
3353,United States,Belgium,7.5,13
3354,Brazil,Bolivia,3.5,13
3362,United States,Bolivia,1.0,13
3363,Bolivia,Brazil,3.5,13
3377,Canada,Brazil,2.0,13
3391,Colombia,Brazil,2.5,13
3406,France,Brazil,1.5,13
3433,Italy,Brazil,1.5,13
3448,Portugal,Brazil,2.5,13
3462,Qatar,Brazil,1.0,13
3490,Spain,Brazil,1.0,13
3504,United Arab Emirates,Brazil,1.0,13
3531,United States,Brazil,22.0,13
3532,Australia,Canada,2.0,13
3560,Austria,Canada,1.5,13
3588,Belgium,Canada,1.0,13
3616,Brazil,Canada,2.0,13
3645,Costa Rica,Canada,1.5,13
3674,France,Canada,6.5,13
3702,Germany,Canada,5.5,13
3730,Hong Kong,Canada,2.0,13
3759,India,Canada,2.0,13
3787,Ireland,Canada,2.0,13
3815,Israel,Canada,1.0,13
3844,Mexico,Canada,2.0,13
3899,Netherlands,Canada,3.0,13
3927,New Zealand,Canada,1.5,13
4009,Portugal,Canada,2.5,13
4037,Qatar,Canada,1.0,13
4066,Spain,Canada,2.0,13
4094,Switzerland,Canada,2.5,13
4122,Taiwan,Canada,2.0,13
4150,United Arab Emirates,Canada,2.0,13
4178,United Kingdom,Canada,13.5,13
4206,United States,Canada,397.0,13
4207,Australia,China,1.0,13
4234,France,China,1.0,13
4261,Hong Kong,China,4.0,13
4288,Indonesia,China,1.0,13
4314,Japan,China,5.5,13
4341,Malaysia,China,7.5,13
4369,Philippines,China,4.5,13
4396,Russia,China,1.5,13
4422,Singapore,China,4.5,13
4449,South Korea,China,8.5,13
4477,Taiwan,China,4.5,13
4503,Thailand,China,7.0,13
4530,United Arab Emirates,China,1.0,13
4556,United States,China,2.0,13
4564,Brazil,Colombia,2.5,13
4579,Costa Rica,Colombia,2.0,13
4587,Dominican Republic,Colombia,1.5,13
4616,Netherlands,Colombia,1.0,13
4625,Spain,Colombia,3.5,13
4640,United States,Colombia,19.0,13
4641,Canada,Costa Rica,1.5,13
4646,Colombia,Costa Rica,2.0,13
4659,Spain,Costa Rica,1.0,13
4668,United States,Costa Rica,21.0,13
4669,Austria,Croatia,3.5,13
4683,Belgium,Croatia,2.5,13
4697,Denmark,Croatia,1.0,13
4711,France,Croatia,2.5,13
4725,Germany,Croatia,9.5,13
4739,Greece,Croatia,1.0,13
4753,Italy,Croatia,1.0,13
4767,Netherlands,Croatia,1.0,13
4781,Poland,Croatia,1.0,13
4795,Qatar,Croatia,1.5,13
4809,Russia,Croatia,1.0,13
4823,Switzerland,Croatia,2.5,13
4837,United Kingdom,Croatia,1.0,13
4838,Austria,Czech Republic,4.0,13
4869,Belgium,Czech Republic,6.5,13
4899,Denmark,Czech Republic,2.0,13
4929,Finland,Czech Republic,3.0,13
4959,France,Czech Republic,7.0,13
4989,Germany,Czech Republic,21.0,13
5019,Greece,Czech Republic,1.0,13
5049,Hungary,Czech Republic,5.0,13
5108,Ireland,Czech Republic,2.0,13
5138,Israel,Czech Republic,1.5,13
5168,Italy,Czech Republic,11.0,13
5198,Latvia,Czech Republic,1.0,13
5229,Netherlands,Czech Republic,6.0,13
5259,Norway,Czech Republic,1.0,13
5289,Poland,Czech Republic,3.5,13
5319,Portugal,Czech Republic,1.5,13
5349,Qatar,Czech Republic,1.5,13
5379,Russia,Czech Republic,13.0,13
5439,Spain,Czech Republic,5.0,13
5469,Sweden,Czech Republic,2.0,13
5499,Switzerland,Czech Republic,7.0,13
5529,Turkey,Czech Republic,1.0,13
5559,Ukraine,Czech Republic,3.0,13
5589,United Arab Emirates,Czech Republic,2.0,13
5619,United Kingdom,Czech Republic,23.5,13
5621,Austria,Denmark,7.0,13
5652,Belgium,Denmark,6.0,13
5683,Croatia,Denmark,1.0,13
5714,Czech Republic,Denmark,2.0,13
5745,Estonia,Denmark,3.0,13
5776,Finland,Denmark,11.0,13
5807,France,Denmark,11.5,13
5838,Germany,Denmark,45.5,13
5899,Hungary,Denmark,3.0,13
5930,Iceland,Denmark,2.5,13
5961,Ireland,Denmark,3.0,13
5992,Italy,Denmark,7.5,13
6023,Latvia,Denmark,6.0,13
6054,Luxembourg,Denmark,3.0,13
6085,Malta,Denmark,1.0,13
6116,Netherlands,Denmark,17.0,13
6147,Norway,Denmark,32.0,13
6178,Poland,Denmark,12.5,13
6209,Portugal,Denmark,2.0,13
6240,Qatar,Denmark,2.0,13
6271,Russia,Denmark,1.5,13
6332,Spain,Denmark,6.5,13
6363,Sweden,Denmark,34.5,13
6394,Switzerland,Denmark,7.0,13
6425,Thailand,Denmark,1.0,13
6456,Turkey,Denmark,2.0,13
6487,Ukraine,Denmark,1.0,13
6518,United Arab Emirates,Denmark,1.0,13
6549,United Kingdom,Denmark,36.0,13
6580,United States,Denmark,3.0,13
6587,Colombia,Dominican Republic,1.5,13
6602,Belarus,Estonia,1.0,13
6616,Belgium,Estonia,1.5,13
6630,Denmark,Estonia,3.0,13
6644,Finland,Estonia,8.0,13
6658,Germany,Estonia,5.0,13
6672,Latvia,Estonia,5.5,13
6686,Netherlands,Estonia,1.0,13
6700,Norway,Estonia,1.0,13
6714,Poland,Estonia,2.0,13
6728,Russia,Estonia,2.0,13
6742,Sweden,Estonia,6.5,13
6756,Ukraine,Estonia,1.0,13
6770,United Kingdom,Estonia,3.0,13
6771,Austria,Finland,3.0,13
6801,Belgium,Finland,2.5,13
6831,Czech Republic,Finland,3.0,13
6861,Denmark,Finland,11.0,13
6891,Estonia,Finland,8.0,13
6921,France,Finland,5.0,13
6951,Germany,Finland,21.0,13
7011,Iceland,Finland,1.0,13
7042,Ireland,Finland,1.0,13
7072,Italy,Finland,2.5,13
