pais,valor_semana,dia_semana,voos_soma,jan_mean,pct_loss,continent
Algeria,10,0,101.0,130.07692307692307,0.22353636901241863,Africa
Algeria,10,1,98.0,130.07692307692307,0.2465996451803666,Africa
Algeria,10,2,121.0,130.07692307692307,0.06978119455943221,Africa
Algeria,10,3,166.0,130.07692307692307,-0.2761679479597872,Africa
Algeria,10,4,100.0,130.07692307692307,0.23122412773506795,Africa
Algeria,10,5,100.0,130.07692307692307,0.23122412773506795,Africa
Algeria,10,6,128.0,130.07692307692307,0.015966883500886965,Africa
Algeria,11,0,104.0,130.07692307692307,0.20047309284447065,Africa
Algeria,11,1,118.0,130.07692307692307,0.09284447072738017,Africa
Algeria,11,2,143.0,130.07692307692307,-0.09934949733885284,Africa
Algeria,11,3,160.0,130.07692307692307,-0.23004139562389128,Africa
Algeria,11,4,136.0,130.07692307692307,-0.045535186280307595,Africa
Algeria,11,5,139.0,130.07692307692307,-0.06859846244825556,Africa
Algeria,11,6,121.0,130.07692307692307,0.06978119455943221,Africa
Algeria,12,0,75.0,130.07692307692307,0.42341809580130096,Africa
Algeria,12,1,71.0,130.07692307692307,0.45416913069189824,Africa
Algeria,12,2,42.0,130.07692307692307,0.6771141336487285,Africa
Algeria,12,3,37.0,130.07692307692307,0.7155529272619752,Africa
Algeria,12,4,41.0,130.07692307692307,0.6848018923713779,Africa
Algeria,12,5,29.0,130.07692307692307,0.7770549970431697,Africa
Algeria,12,6,8.0,130.07692307692307,0.9384979302188055,Africa
Algeria,13,0,15.0,130.07692307692307,0.8846836191602602,Africa
Algeria,13,1,10.0,130.07692307692307,0.9231224127735068,Africa
Algeria,13,2,7.0,130.07692307692307,0.9461856889414547,Africa
Algeria,13,3,5.0,130.07692307692307,0.9615612063867534,Africa
Algeria,13,4,10.0,130.07692307692307,0.9231224127735068,Africa
Algeria,13,5,5.0,130.07692307692307,0.9615612063867534,Africa
Algeria,13,6,9.0,130.07692307692307,0.9308101714961561,Africa
Algeria,14,0,7.0,130.07692307692307,0.9461856889414547,Africa
Algeria,14,1,6.0,130.07692307692307,0.9538734476641041,Africa
Algeria,14,2,3.0,130.07692307692307,0.976936723832052,Africa
Algeria,14,3,9.0,130.07692307692307,0.9308101714961561,Africa
Algeria,14,4,7.0,130.07692307692307,0.9461856889414547,Africa
Algeria,14,5,7.0,130.07692307692307,0.9461856889414547,Africa
Algeria,14,6,10.0,130.07692307692307,0.9231224127735068,Africa
Algeria,15,0,3.0,130.07692307692307,0.976936723832052,Africa
Algeria,15,1,3.0,130.07692307692307,0.976936723832052,Africa
Algeria,15,2,17.0,130.07692307692307,0.8693081017149615,Africa
Algeria,15,3,24.0,130.07692307692307,0.8154937906564163,Africa
Algeria,15,4,5.0,130.07692307692307,0.9615612063867534,Africa
Algeria,15,5,14.0,130.07692307692307,0.8923713778829095,Africa
Algeria,15,6,12.0,130.07692307692307,0.9077468953282082,Africa
Algeria,16,0,5.0,130.07692307692307,0.9615612063867534,Africa
Algeria,16,1,3.0,130.07692307692307,0.976936723832052,Africa
Algeria,16,2,6.0,130.07692307692307,0.9538734476641041,Africa
Algeria,16,3,18.0,130.07692307692307,0.8616203429923123,Africa
Algeria,16,4,16.0,130.07692307692307,0.8769958604376109,Africa
Algeria,16,5,17.0,130.07692307692307,0.8693081017149615,Africa
Algeria,16,6,1.0,130.07692307692307,0.9923122412773506,Africa
Algeria,17,1,1.0,130.07692307692307,0.9923122412773506,Africa
Algeria,18,1,3.0,130.07692307692307,0.976936723832052,Africa
Algeria,18,2,15.0,130.07692307692307,0.8846836191602602,Africa
Algeria,18,3,24.0,130.07692307692307,0.8154937906564163,Africa
Algeria,18,4,8.0,130.07692307692307,0.9384979302188055,Africa
Algeria,18,5,19.0,130.07692307692307,0.8539325842696629,Africa
Algeria,18,6,13.0,130.07692307692307,0.9000591366055588,Africa
Algeria,19,0,30.0,130.07692307692307,0.7693672383205203,Africa
Algeria,19,1,24.0,130.07692307692307,0.8154937906564163,Africa
