Country,Output-Response-Total cases rate after,Output-Response-Total deaths rate after,Output-CLI percent impact,Output-PMI-ind percent impact,Output-PMI-serv percent impact,Output-PMI-comp percent impact,Average Temperature April,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Day10thDeath,GDP per capita (current US$),"International tourism, number of arrivals","Life expectancy at birth, total (years)",Population,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Prevalence of undernourishment (% of population),Urban population (% of total population),Input-Response-Stringency Index,Input-Response-automotive pollution percent,Input-Response-mobility retail and recreation percent,Input-Response-mobility grocery and pharmacy percent,Input-Response-mobility parks percent,Input-Response-mobility transit stations percent,Input-Response-mobility workplaces percent,Input-Response-mobility residential percent,Continent
Mali,1.1096935493208053,1.0703519546620164,,,,,32.26,60.6,30.5,3.82,29.79,105.0,899.66,14000.0,58.45,19077690.0,47.54,49.95,2.51,15.64,12.83,56.3,6.3,42.36,78.83,,18.428571428571427,14.285714285714286,5.571428571428571,32.57142857142857,9.0,-10.0,Africa
Mauritius,1.0423657830289388,1.0331938343738771,,,,,25.88,6.5,88.7,5.75,553.1,119.0,11238.69,1399000.0,74.51,1265303.0,17.79,70.73,11.47,623.3,,,6.5,40.79,86.24,,83.0372448979592,62.46666666666666,79.36190476190475,86.44047619047618,77.33246753246753,-33.07142857142857,Africa
Mexico,1.1331724825519094,1.237907250066631,-1.36425317854372,,,,22.27,9.8,79.9,5.47,461.79,88.0,9673.44,41313000.0,74.95,126190788.0,26.56,66.22,7.22,64.91,40.71,11.1,3.6,80.16,70.72714285714285,21.587043971641435,38.51948051948052,17.307359307359306,37.66666666666667,44.77489177489178,31.558441558441558,-14.580086580086581,Americas
Moldova,1.0999780389035332,1.1480333746076383,,,,,10.82,4.2,90.1,8.98,171.19,96.0,3227.31,160000.0,71.72,2706049.0,15.86,72.67,11.47,123.52,,,,42.63,90.74,,59.857142857142854,39.0,37.42857142857143,62.142857142857146,51.857142857142854,-18.0,Europe
Morocco,1.1263786874812134,1.1855281654836198,,,,,17.57,14.0,79.6,5.84,171.45,87.0,3237.88,12289000.0,76.22,36029138.0,27.21,65.78,7.01,80.73,21.73,13.1,3.4,62.45,93.38,,,,,,,,Africa
Myanmar,1.0303463180215988,1.0101804470869786,,,,,27.12,23.6,67.8,5.09,62.11,,1325.95,3551000.0,66.56,53708395.0,26.37,67.84,5.78,82.24,12.16,41.0,10.6,30.58,81.89,,63.0,48.142857142857146,23.285714285714285,60.42857142857143,42.857142857142854,-21.142857142857142,Asia  
Netherlands,1.1791089458354065,1.3092708293693744,6.8508718238148845,,,,9.84,5.2,89.6,10.36,4742.03,75.0,53024.06,18780000.0,81.56,17231624.0,16.11,64.7,19.2,511.46,12.42,,2.5,91.49,58.17571428571427,28.338336484328313,21.16483516483516,-12.087912087912088,-24.98901098901099,34.83516483516483,21.35164835164835,-9.032967032967033,Europe
New Zealand,1.00329970397963,1.0769863520789578,-0.5998820559184708,,,,11.66,4.6,89.5,9.22,3745.22,108.0,41945.33,3686000.0,81.66,4841000.0,19.65,64.69,15.65,18.55,31.87,,2.5,86.54,97.35000000000001,35.03484320557491,91.55238095238096,42.34761904761905,79.37815126050421,84.85656565656566,64.41176470588235,-30.287074829931974,Oceania
Nicaragua,,,,,,,28.05,10.9,76.4,8.75,188.16,,2028.89,1256000.0,74.07,6465513.0,30.2,64.55,5.25,53.73,16.21,45.5,17.0,58.52,16.67,,,,,,,,Americas
Niger,1.127236264632008,1.0769863520789578,,,,,31.93,62.7,27.0,6.23,22.68,97.0,413.98,157000.0,61.6,22442948.0,49.98,47.42,2.6,17.72,5.41,70.1,16.5,16.43,61.51,,21.857142857142858,13.571428571428571,18.285714285714285,31.857142857142858,18.571428571428573,-12.428571428571429,Africa
Nigeria,1.0763999800568345,1.1004390707937086,,,,,30.92,62.7,29.0,3.65,79.34,103.0,2028.18,5265000.0,53.95,195874740.0,43.87,53.39,2.75,215.06,16.51,50.2,13.4,50.34,75.14999999999999,,47.60265246449457,32.72672151864698,27.205017291197414,46.34941249226964,28.43233082706767,-18.839785799903485,Africa
Norway,1.074317456521455,1.1343252429191504,4.922398784524859,,,,-0.23,7.3,87.0,10.5,7477.9,85.0,81697.25,5688000.0,82.51,5311916.0,17.55,65.4,17.05,14.55,19.05,,2.5,82.25,77.36142857142856,39.521046475978515,47.33333333333333,15.571428571428571,-18.297619047619047,53.40476190476191,45.392857142857146,-16.785714285714285,Europe
Oman,1.0514415489988556,1.0392592260318434,,,,,29.27,10.5,71.9,4.29,648.28,116.0,16415.16,2301000.0,77.39,4829483.0,22.25,75.36,2.39,15.6,29.95,60.5,6.8,84.54,94.71000000000001,,55.0,39.285714285714285,47.42857142857143,68.42857142857143,40.714285714285715,-19.0,Asia  
