pais,valor_semana,dia_semana,voos_soma
Armenia,9,0,59.0
Armenia,9,1,56.0
Armenia,9,2,50.0
Armenia,9,3,43.0
Armenia,9,4,54.0
Armenia,9,5,49.0
Armenia,9,6,36.0
Armenia,10,0,52.0
Armenia,10,1,57.0
Armenia,10,2,54.0
Armenia,10,3,49.0
Armenia,10,4,48.0
Armenia,10,5,14.0
Armenia,10,6,38.0
Armenia,11,0,62.0
Armenia,11,1,62.0
Armenia,11,2,43.0
Armenia,11,3,45.0
Armenia,11,4,58.0
Armenia,11,5,58.0
Armenia,11,6,54.0
Armenia,12,0,58.0
Armenia,12,1,46.0
Armenia,12,2,39.0
Armenia,12,3,19.0
Armenia,12,4,34.0
Armenia,12,5,12.0
Armenia,13,0,12.0
Armenia,13,1,13.0
Armenia,13,2,10.0
Armenia,13,3,11.0
Armenia,13,4,9.0
Armenia,13,5,12.0
Armenia,13,6,8.0
Armenia,14,0,9.0
Armenia,14,1,3.0
Armenia,14,2,4.0
Armenia,14,3,2.0
Armenia,14,4,6.0
Armenia,14,5,3.0
Armenia,14,6,3.0
Armenia,15,0,4.0
Armenia,15,1,5.0
Armenia,15,2,4.0
Armenia,15,3,5.0
Armenia,15,4,4.0
Armenia,15,5,1.0
Armenia,15,6,5.0
Armenia,16,0,6.0
Armenia,16,1,2.0
Armenia,16,2,4.0
Armenia,16,3,5.0
Armenia,16,4,10.0
Armenia,16,5,4.0
Armenia,16,6,5.0
Armenia,17,0,7.0
Armenia,17,1,4.0
Armenia,17,2,7.0
Armenia,17,3,12.0
Armenia,17,4,10.0
Armenia,17,5,5.0
Armenia,17,6,6.0
Armenia,18,0,12.0
Armenia,18,1,10.0
Armenia,18,2,6.0
Armenia,18,3,8.0
Armenia,18,4,9.0
Armenia,18,5,3.0
Armenia,18,6,5.0
Armenia,19,0,5.0
Armenia,19,1,7.0
Armenia,19,2,4.0
Armenia,19,3,3.0
Armenia,19,4,4.0
Armenia,19,5,4.0
Armenia,19,6,8.0
Armenia,20,0,1.0
Armenia,20,1,5.0
Armenia,20,2,5.0
Armenia,20,3,5.0
Armenia,20,4,10.0
Armenia,20,5,1.0
Armenia,20,6,7.0
Armenia,21,0,3.0
Armenia,21,1,6.0
Armenia,21,2,9.0
Armenia,21,3,3.0
Armenia,21,4,6.0
Armenia,21,5,5.0
Armenia,21,6,5.0
Armenia,22,0,6.0
Armenia,22,1,6.0
Armenia,22,2,4.0
Armenia,22,3,6.0
Australia,1,2,4281.0
Australia,1,3,4774.0
Australia,1,4,4071.0
Australia,1,5,3549.0
Australia,1,6,4065.0
Australia,2,0,4179.0
Australia,2,1,4229.0
Australia,2,2,4307.0
Australia,2,3,4861.0
Australia,2,4,4518.0
Australia,2,5,3611.0
Australia,2,6,4169.0
Australia,3,0,4169.0
Australia,3,1,4480.0
Australia,3,2,4576.0
Australia,3,3,4660.0
Australia,3,4,4547.0
Australia,3,5,2541.0
Australia,3,6,3832.0
Australia,4,0,4290.0
Australia,4,1,5239.0
Australia,4,2,4764.0
Australia,4,3,4793.0
Australia,4,4,5133.0
Australia,4,5,3642.0
Australia,4,6,3902.0
Australia,5,0,4812.0
Australia,5,1,5424.0
Australia,5,2,5436.0
Australia,5,3,4864.0
Australia,5,4,4327.0
Australia,5,5,3247.0
Australia,5,6,4320.0
Australia,6,0,4953.0
Australia,6,1,5114.0
Australia,6,2,5272.0
Australia,6,3,4799.0
Australia,6,4,4263.0
Australia,6,5,2792.0
Australia,6,6,3387.0
Australia,7,0,4595.0
Australia,7,1,4765.0
Australia,7,2,4815.0
Australia,7,3,5131.0
Australia,7,4,4555.0
Australia,7,5,2738.0
Australia,7,6,4513.0
Australia,8,0,4965.0
Australia,8,1,4711.0
Australia,8,2,5186.0
Australia,8,3,5641.0
Australia,8,4,5107.0
Australia,8,5,3468.0
