,org,dest,week_value,pct_loss
341,Argentina,Canada,22,1.0
342,Argentina,Colombia,5,-0.45454545454545453
343,Argentina,Colombia,6,-0.9636363636363636
344,Argentina,Colombia,7,-1.1818181818181819
345,Argentina,Colombia,8,-0.01818181818181818
346,Argentina,Colombia,9,0.05454545454545454
347,Argentina,Colombia,10,0.6363636363636364
348,Argentina,Colombia,11,-0.6727272727272727
349,Argentina,Colombia,12,-1.1090909090909091
350,Argentina,Colombia,13,1.0
351,Argentina,Colombia,14,0.5636363636363636
352,Argentina,Colombia,15,0.8545454545454545
353,Argentina,Colombia,16,1.0
354,Argentina,Colombia,17,0.7090909090909091
355,Argentina,Colombia,18,0.7818181818181819
356,Argentina,Colombia,19,1.0
357,Argentina,Colombia,20,0.7090909090909091
358,Argentina,Colombia,21,0.8545454545454545
359,Argentina,Colombia,22,1.0
360,Argentina,Costa Rica,5,1.0
361,Argentina,Costa Rica,6,1.0
362,Argentina,Costa Rica,7,1.0
363,Argentina,Costa Rica,8,1.0
364,Argentina,Costa Rica,9,-3.0
365,Argentina,Costa Rica,10,1.0
366,Argentina,Costa Rica,11,1.0
367,Argentina,Costa Rica,12,1.0
368,Argentina,Costa Rica,13,1.0
369,Argentina,Costa Rica,14,1.0
370,Argentina,Costa Rica,15,-1.0
371,Argentina,Costa Rica,16,1.0
372,Argentina,Costa Rica,17,-1.0
373,Argentina,Costa Rica,18,1.0
374,Argentina,Costa Rica,19,1.0
375,Argentina,Costa Rica,20,1.0
376,Argentina,Costa Rica,21,1.0
377,Argentina,Costa Rica,22,1.0
378,Argentina,Dominican Republic,5,-5.666666666666667
379,Argentina,Dominican Republic,6,-4.333333333333333
380,Argentina,Dominican Republic,7,1.0
381,Argentina,Dominican Republic,8,-3.0
382,Argentina,Dominican Republic,9,-3.0
383,Argentina,Dominican Republic,10,-3.0
384,Argentina,Dominican Republic,11,1.0
385,Argentina,Dominican Republic,12,-1.6666666666666667
386,Argentina,Dominican Republic,13,1.0
387,Argentina,Dominican Republic,14,1.0
388,Argentina,Dominican Republic,15,-0.3333333333333333
389,Argentina,Dominican Republic,16,-0.3333333333333333
390,Argentina,Dominican Republic,17,1.0
391,Argentina,Dominican Republic,18,1.0
392,Argentina,Dominican Republic,19,1.0
393,Argentina,Dominican Republic,20,1.0
394,Argentina,Dominican Republic,21,1.0
395,Argentina,Dominican Republic,22,1.0
396,Argentina,France,5,-0.6666666666666666
397,Argentina,France,6,-1.0
398,Argentina,France,7,-0.6666666666666666
399,Argentina,France,8,-1.5
400,Argentina,France,9,-0.6666666666666666
401,Argentina,France,10,0.3333333333333333
402,Argentina,France,11,-0.3333333333333333
403,Argentina,France,12,0.3333333333333333
404,Argentina,France,13,1.0
405,Argentina,France,14,0.6666666666666666
406,Argentina,France,15,1.0
407,Argentina,France,16,1.0
408,Argentina,France,17,1.0
409,Argentina,France,18,1.0
410,Argentina,France,19,1.0
411,Argentina,France,20,1.0
412,Argentina,France,21,1.0
413,Argentina,France,22,1.0
414,Argentina,Germany,5,-0.8181818181818182
415,Argentina,Germany,6,-0.8181818181818182
